		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111101000    4    2    3    0    7    5    1    3 16.432459 0.036592 SUCCESS 136
111101010    2    3    3    2    4    3    3    0  4.255341 0.833382 SUCCESS 137
111101100    1    3    1    7    2    2    2    3 11.096902 0.196269 SUCCESS 138
111101110    3    3    6    1    2    5    0    4 12.980234 0.112531 SUCCESS 139
111110000    1    2    6    4    0    1    3    1 11.755572 0.162447 SUCCESS 140
111110010    1    2    2    2    1    0    2    1  5.384016 0.715853 SUCCESS 141
111110100    3    3    2    2    6    6    0    5 16.558235 0.035052 SUCCESS 142
111110110    0    2    2    7    1    2    2    3 12.665794 0.123878 SUCCESS 143
111111000    2    1    5    6    3    0    0    1 15.144908 0.056388 SUCCESS 144
111111010    2    6    2    1    3    7    1    4 17.342681 0.026732 SUCCESS 145
111111100    2    2    2    4    4    0    1    1  6.545791 0.586333 SUCCESS 146
111111110    2    3    2    3    1    2    1    1  3.093566 0.928349 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    4    2    1    2    3    0    2    0  7.267349 0.508082 SUCCESS   0
000000011    5    4    0    1    2    0    0    0 14.767580 0.063825 SUCCESS   1
000000101    2    3    2    5    5    0    0    0 13.387352 0.099199 SUCCESS   2
000000111    4    4    2    1    0    1    0    2  8.962017 0.345510 SUCCESS   3
000001001    1    0    1    3    2    1    2    4  6.420015 0.600293 SUCCESS   4
000001011    2    3    2    3    5    1    3    0  6.734455 0.565535 SUCCESS   5
000001101    4    4    4    5    6    4    0    2 14.989343 0.059353 SUCCESS   6
000001111    4    2    4    0    2    2    2    3  5.039787 0.753315 SUCCESS   7
000010001    3    4    1    4    3    3    2    3  3.596671 0.891559 SUCCESS   8
000010011    2    3    2    2    1    2    1    2  2.246232 0.972517 SUCCESS   9
000010101    2    3    2    3    3    2    0    1  4.003788 0.856782 SUCCESS  10
000010111    3    2    3    1    2    1    5    2  5.039787 0.753315 SUCCESS  11
000011001    2    2    1    1    1    1    5    1  7.267349 0.508082 SUCCESS  12
000011011    2    1    5    4    5    6    4    3 14.204897 0.076579 SUCCESS  13
000011101    3    3    2    0    2    3    1    1  4.788234 0.779952 SUCCESS  14
000011111    2    3    4    3    3    1    1    1  4.129564 0.845248 SUCCESS  15
000100011    1    2    0    5    3    2    1    3  7.456013 0.488323 SUCCESS  16
000100101    5    2    1    3    3    1    3    5  7.833341 0.449917 SUCCESS  17
000100111    5    4    0    1    1    0    1    4 12.477130 0.131151 SUCCESS  18
000101001    1    2    1    3    1    4    3    2  4.066676 0.851058 SUCCESS  19
000101011    4    2    1    4    0    3    1    0  9.024905 0.340199 SUCCESS  20
000101101    1    2    1    2    1    3    3    3  3.156454 0.924159 SUCCESS  21
000101111    2    0    3    2    0    2    1    2  6.294238 0.614310 SUCCESS  22
000110011    2    3    3    2    2    1    5    0  6.671567 0.572447 SUCCESS  23
000110101    1    2    2    2    3    3    2    3  1.587562 0.991157 SUCCESS  24
000110111    2    2    7    5    4    2    6    3 18.504456 0.017747 SUCCESS  25
000111001    1    2    1    2    6    2    0    5 12.665794 0.123878 SUCCESS  26
000111011    3    3    1    1    3    1    0    2  5.572680 0.694975 SUCCESS  27
